Población;Latitud;Longitud
Camaleño;43,15001;-4,693898
Camargo;43,40667;-3,883333
Campoo de Enmedio;42,96667;-4,15
Cartes;43,32322;-4,069758
Castañeda;43,31572;-3,95332
Castro-Urdiales;43,38277;-3,21957
Cillorigo de Liébana;43,16667;-4,583333
Colindres;43,39538;-3,449363
Comillas;43,38564;-4,291507
Corrales de Buelna (Los);43,25957;-4,068241
Corvera de Toranzo;43,2129;-3,957237
Entrambasaguas;43,37997;-3,6846
Guriezo;43,35442;-3,325467
Hazas de Cesto;43,39733;-3,588164
Hermandad de Campoo de Suso;43,01667;-4,216667
Laredo;43,41148;-3,412477
Liendo;43,39421;-3,382125
Liérganes;43,34212;-3,742174
Limpias;43,36872;-3,398698
Marina de Cudeyo;43,41667;-3,75
Mazcuerras;43,29861;-4,206666
Medio Cudeyo;43,38139;-3,731667
Meruelo;43,45694;-3,573889
Miengo;43,42711;-3,99526
Molledo;43,15285;-4,042275
Noja;43,47997;-3,52139
Penagos;43,35154;-3,81413
Piélagos;43,38657;-3,957237
Polanco;43,385;-4,016194
Potes;43,15347;-4,6227
Puente Viesgo;43,29906;-3,964917
Ramales de la Victoria;43,25792;-3,465148
Rasines;43,30417;-3,428978
Reinosa;43,00071;-4,139154
Reocín;43,34273;-4,095572
Ribamontán al Mar;43,45555;-3,67
Ribamontán al Monte;43,40805;-3,661389
Rionansa;43,25472;-4,4025
Riotuerto;43,34002;-3,664777
Ruente;43,25963;-4,265683
Ruesga;43,2825;-3,56
San Felices de Buelna;43,27528;-4,048611
San Vicente de la Barquera;43,38593;-4,398091
Santa Cruz de Bezana;43,44282;-3,904777
Santa María de Cayón;43,31036;-3,854225
Santander;43,46096;-3,807934
Santillana del Mar;43,38897;-4,10918
Santiurde de Toranzo;43,23869;-3,940012
Santoña;43,44215;-3,453193
Selaya;43,21114;-3,804945
Soba;43,18806;-3,517222
Solórzano;43,37978;-3,586886
Suances;43,42658;-4,041966
Torrelavega;43,35146;-4,047017
Val de San Vicente;43,3775;-4,483611
Valdáliga;43,32917;-4,349167
Valdeolea;42,87778;-4,162222
Valderredible;42,80722;-3,939167
Villacarriedo;43,23019;-3,805764
Villaescusa;43,37305;-3,850833
Villafufre;43,26608;-3,89347
Voto;43,35583;-3,495556
Albacete;38,99765;-1,86007
Alcalá del Júcar;39,19346;-1,429671
Alcaraz;38,66966;-2,492647
Almansa;38,86941;-1,097517
Alpera;38,95939;-1,231247
Balazote;38,88408;-2,150826
Barrax;39,04573;-2,200169
Bogarra;38,58138;-2,214221
Bonete;38,8693;-1,348517
Bonillo (El);38,95073;-2,539598
Casas-Ibáñez;39,28518;-1,47113
Casas de Juan Núñez;39,10187;-1,557571
Caudete;38,70274;-0,9915481
Cenizate;39,3043;-1,661456
Chinchilla de Monte-Aragón;38,91862;-1,722758
Elche de la Sierra;38,44759;-2,048343
Fuente-Álamo;38,69322;-1,431773
Fuentealbilla;39,26686;-1,549186
Gineta (La);39,11287;-1,996003
Hellín;38,51216;-1,70331
Higueruela;38,96424;-1,445101
Letur;38,36555;-2,101964
Lezuza;38,94902;-2,353775
Liétor;38,5429;-1,952878
Madrigueras;39,23705;-1,800167
Mahora;39,21283;-1,725332
Minaya;39,27149;-2,319947
Molinicos;38,46796;-2,237843
Montealegre del Castillo;38,78697;-1,325303
Munera;39,03984;-2,482528
Nerpio;38,14801;-2,302496
Ontur;38,6147;-1,498491
Ossa de Montiel;38,96335;-2,745406
Peñas de San Pedro;38,72722;-2,004189
Pozo Cañada;38,80128;-1,736837
Pozohondo;38,72114;-1,911805
Riópar;38,49912;-2,41725
Roda (La);39,0013;-1,868604
San Pedro;38,82642;-2,186141
Socovos;38,33348;-1,983432
Tarazona de la Mancha;39,26531;-1,912836
Tobarra;38,58844;-1,693783
Valdeganga;39,13523;-1,677004
Villalgordo del Júcar;39,29626;-2,06341
Villamalea;39,36189;-1,599296
Villarrobledo;39,26726;-2,607643
Yeste;38,36583;-2,318711
Abenójar;38,87935;-4,357778
Agudo;38,97897;-4,873152
Albaladejo;38,61805;-2,806261
Alcázar de San Juan;39,38993;-3,210137
Alcolea de Calatrava;38,98661;-4,115491
Aldea del Rey;38,73823;-3,839462
Alhambra;38,89945;-3,053446
Almadén;38,77537;-4,839919
Almagro;38,8909;-3,706416
Almodóvar del Campo;38,70892;-4,17864
Arenas de San Juan;39,21769;-3,502934
Argamasilla de Alba;39,12871;-3,088472
Argamasilla de Calatrava;38,72688;-4,080076
Bolaños de Calatrava;38,90565;-3,666354
Brazatortas;38,66077;-4,296044
Calzada de Calatrava;38,70487;-3,777296
Campo de Criptana;39,40229;-3,12215
Carrión de Calatrava;39,01838;-3,817681
Carrizosa;38,84157;-2,992662
Castellar de Santiago;38,54034;-3,278269
Chillón;38,79689;-4,867012
Ciudad Real;38,9861;-3,927263
Corral de Calatrava;38,8587;-4,080987
Cózar;38,66079;-3,073008
Daimiel;39,07178;-3,616573
Fernán Caballero;39,12474;-3,902586
Fuencaliente;38,40664;-4,304459
Fuente el Fresno;39,23047;-3,774781
Herencia;39,36691;-3,354991
Malagón;39,17159;-3,854879
Manzanares;38,99636;-3,373172
Membrilla;38,97219;-3,348246
Miguelturra;38,96479;-3,891293
Montiel;38,69634;-2,862144
Moral de Calatrava;38,8303;-3,580616
Pedro Muñoz;39,40552;-2,947798
Piedrabuena;39,03277;-4,175645
Poblete;38,93584;-3,981476
Porzuna;39,14607;-4,153421
Pozuelo de Calatrava;38,91215;-3,837884
Puebla de Don Rodrigo;39,08641;-4,620681
Puerto Lápice;39,32433;-3,481053
Puertollano;38,68604;-4,112146
Retuerta del Bullaque;39,4612;-4,409563
Robledo (El);39,21893;-4,282607
San Carlos del Valle;38,84432;-3,241523
Santa Cruz de Mudela;38,64534;-3,467174
Socuéllamos;39,29322;-2,79432
Solana (La);38,94151;-3,23942
Tomelloso;39,15775;-3,020807
Torralba de Calatrava;39,01635;-3,750029
Torre de Juan Abad;38,58471;-3,060354
Torrenueva;38,64016;-3,362127
Valdepeñas;38,76053;-3,384104
Villahermosa;38,75026;-2,871385
Villamanrique;38,54818;-2,996742
Villanueva de la Fuente;38,69218;-2,694855
Villanueva de los Infantes;38,73712;-3,014678
Villarrubia de los Ojos;39,21914;-3,607883
Villarta de San Juan;39,24044;-3,422227
Viso del Marqués;38,52327;-3,562804
Alberca de Záncara (La);39,5143;-2,492847
Arcas del Villar;39,98858;-2,114739
Barajas de Melo;40,12273;-2,915822
Belmonte;39,55941;-2,70837
Campillo de Altobuey;39,61043;-1,795945
Casas de Benítez;39,36133;-2,130932
Casas de Fernando Alonso;39,35053;-2,329337
Casasimarro;39,39071;-2,036607
Cuenca;40,07183;-2,134005
Fuente de Pedro Naharro;39,92551;-3,010809
Hinojosos (Los);39,60409;-2,825801
Honrubia;39,61238;-2,284828
Horcajo de Santiago;39,84166;-3,001539
Huete;40,14595;-2,687307
Iniesta;39,44085;-1,749385
Landete;39,90768;-1,364534
Ledaña;39,35647;-1,718999
Mesas (Las);39,39007;-2,767518
Minglanilla;39,53357;-1,600453
Mota del Cuervo;39,50294;-2,873104
Motilla del Palancar;39,56567;-1,912222
Pedernoso (El);39,4872;-2,743056
Pedroñeras (Las);39,4494;-2,680383
Priego;40,44872;-2,314606
Provencio (El);39,38158;-2,575047
Quintanar del Rey;39,34257;-1,929375
San Clemente;39,40189;-2,424473
San Lorenzo de la Parrilla;39,84952;-2,357743
Sisante;39,41085;-2,202905
Talayuelas;39,84925;-1,284513
Tarancón;40,01054;-3,006447
Valeras (Las);39,78652;-2,154847
Valverde de Júcar;39,71869;-2,221901
Villalpardo;39,47199;-1,624603
Villamayor de Santiago;39,72784;-2,92358
Villanueva de la Jara;39,44291;-1,953522
Villar de Olalla;40,01356;-2,197358
Albalate de Zorita;40,3085;-2,841589
Almoguera;40,29783;-2,98217
Alovera;40,5967;-3,248165
Azuqueca de Henares;40,56503;-3,268549
Brihuega;40,75965;-2,870508
Cabanillas del Campo;40,63814;-3,238199
Casar (El);40,7035;-3,423473
Chiloeches;40,573;-3,162585
Cifuentes;40,78657;-2,622788
Fontanar;40,72714;-3,177209
Galápagos;40,69532;-3,338467
Guadalajara;40,62981;-3,166493
Horche;40,5683;-3,061644
Humanes;40,82745;-3,155397
Jadraque;40,92616;-2,925027
Loranca de Tajuña;40,4469;-3,113948
Marchamalo;40,66821;-3,200962
Molina de Aragón;40,84282;-1,882801
Mondéjar;40,32302;-3,115048
Pastrana;40,41794;-2,922605
Pioz;40,46357;-3,175737
Pozo de Guadalajara;40,49506;-3,182096
Sacedón;40,48108;-2,733063
Sigüenza;41,0696;-2,642236
Torija;40,74407;-3,030298
Torrejón del Rey;40,64526;-3,337636
Trijueque;40,77686;-2,995797
Trillo;40,70134;-2,593588
Uceda;40,84321;-3,461408
Valdeaveruelo;40,63712;-3,315817
Villanueva de la Torre;40,58433;-3,302191
Yunquera de Henares;40,75522;-3,165951
Ajofrín;39,71251;-3,982614
Alameda de la Sagra;40,01226;-3,796505
Alcaudete de la Jara;39,79322;-4,870331
Almorox;40,23307;-4,391364
Añover de Tajo;39,98945;-3,764771
Argés;39,80597;-4,057286
Bargas;39,94163;-4,01897
Belvís de la Jara;39,76008;-4,949282
Borox;40,06972;-3,740191
Burguillos de Toledo;39,79657;-3,992624
Burujón;39,90132;-4,298384
Cabañas de la Sagra;40,00811;-3,947354
Calera y Chozas;39,88144;-4,978609
Camarena;40,09217;-4,119881
Camuñas;39,42896;-3,459021
Carpio de Tajo (El);39,88752;-4,45466
Carranque;40,1697;-3,901091
Casar de Escalona (El);40,04669;-4,523818
Casarrubios del Monte;40,18575;-4,0358
Castillo de Bayuela;40,10114;-4,685131
Cazalegas;40,01085;-4,67746
Cebolla;39,9479;-4,569388
Cedillo del Condado;40,1137;-3,922378
Chozas de Canales;40,09974;-4,041364
Cobeja;40,02474;-3,857
Cobisa;39,80434;-4,024558
Consuegra;39,46046;-3,60672
Corral de Almaguer;39,76015;-3,166829
Cuerva;39,66404;-4,211058
Dosbarrios;39,88408;-3,476729
Escalona;40,1686;-4,403674
Escalonilla;39,92519;-4,348843
Esquivias;40,10413;-3,77008
Fuensalida;40,05297;-4,209178
Gálvez;39,70341;-4,274498
Gerindote;39,96661;-4,303091
Guadamur;39,81336;-4,147479
Guardia (La);39,78557;-3,477073
Huerta de Valdecarábanos;39,86433;-3,611917
Illescas;40,12416;-3,849206
Lagartera;39,90598;-5,20118
Lillo;39,72131;-3,305534
Lominchar;40,08976;-3,96732
Madridejos;39,46688;-3,523135
Magán;39,95749;-3,930584
Malpica de Tajo;39,89419;-4,546063
Mata (La);39,94268;-4,43835
Mazarambroz;39,69421;-4,021279
Mejorada;40,01009;-4,881894
Menasalbas;39,64199;-4,28475
Méntrida;40,23759;-4,190963
Miguel Esteban;39,52595;-3,075709
Mocejón;39,93911;-3,914589
Mora;39,68426;-3,773487
Nambroca;39,79691;-3,943745
Navahermosa;39,63567;-4,469614
Navalcán;40,06983;-5,092264
Navalmorales (Los);39,72627;-4,639593
Navalucillos (Los);39,666;-4,642211
Noblejas;39,98035;-3,439631
Nombela;40,15645;-4,502765
Novés;40,04707;-4,272139
Numancia de la Sagra;40,07499;-3,854127
Ocaña;39,96031;-3,499733
Olías del Rey;39,94308;-3,986718
Ontígola;40,00346;-3,572239
Orgaz;39,64753;-3,874646
Oropesa;39,91914;-5,173415
Pantoja;40,0439;-3,836551
Pepino;40,03209;-4,802787
Polán;39,78912;-4,1682
Portillo de Toledo;40,0639;-4,229168
Puebla de Almoradiel (La);39,59846;-3,118667
Puebla de Montalbán (La);39,8645;-4,358903
Pueblanueva (La);39,91259;-4,679905
Puente del Arzobispo (El);39,80316;-5,172055
Pulgar;39,69444;-4,152859
Quero;39,50893;-3,24591
Quintanar de la Orden;39,59079;-3,042736
Quismondo;40,10527;-4,324175
Real de San Vicente (El);40,13696;-4,690419
Recas;40,05353;-3,992467
San Pablo de los Montes;39,53926;-4,331608
San Román de los Montes;40,0689;-4,7318
Santa Cruz de la Zarza;39,98323;-3,185218
Santa Cruz del Retamar;40,11898;-4,241545
Santa Olalla;40,02426;-4,428266
Segurilla;40,0226;-4,864883
Seseña;40,10443;-3,697418
Sonseca;39,67621;-3,973744
Talavera de la Reina;39,9598;-4,834432
Tembleque;39,69833;-3,503289
Toboso (El);39,51261;-2,99514
Toledo;39,85678;-4,024476
Torre de Esteban Hambrán (La);40,16903;-4,217501
Torrijos;39,98128;-4,284419
Ugena;40,15582;-3,876736
Urda;39,41178;-3,716074
Valmojado;40,20454;-4,0909
Velada;39,98071;-4,979115
Ventas con Peña Aguilera (Las);39,61103;-4,230424
Ventas de Retamosa (Las);40,15533;-4,113943
Villa de Don Fadrique (La);39,61808;-3,2179
Villacañas;39,62555;-3,331701
Villafranca de los Caballeros;39,42597;-3,359463
Villaluenga de la Sagra;40,02728;-3,911721
Villanueva de Alcardete;39,6734;-3,012378
Villarrubia de Santiago;39,98702;-3,368908
Villaseca de la Sagra;39,96093;-3,882071
Villasequilla;39,87814;-3,73029
Villatobas;39,90173;-3,32405
Viso de San Juan (El);40,14274;-3,920716
Yébenes (Los);39,58142;-3,870618
Yeles;40,12237;-3,805358
Yepes;39,90262;-3,622163
Yuncler;40,04062;-3,903411
Yuncos;40,0842;-3,875736
Adrada (La);40,29935;-4,634857
Arenal (El);40,26487;-5,087197
Arenas de San Pedro;40,20872;-5,091141
Arévalo;41,06443;-4,721681
Ávila;40,65642;-4,700323
Barco de Ávila (El);40,35711;-5,523521
Barraco (El);40,47881;-4,638284
Burgohondo;40,41368;-4,786215
Candeleda;40,15509;-5,239784
Casavieja;40,28105;-4,766778
Cebreros;40,45507;-4,464714
Hoyo de Pinares (El);40,50175;-4,422359
Madrigal de las Altas Torres;41,08944;-4,998767
Mombeltrán;40,25992;-5,01777
Navaluenga;40,41096;-4,707685
Navas del Marqués (Las);40,60316;-4,326336
Pedro Bernardo;40,24287;-4,914765
Piedrahíta;40,46339;-5,328194
Piedralaves;40,31736;-4,69809
Sotillo de la Adrada;40,29404;-4,585647
Tiemblo (El);40,41628;-4,503831
Alfoz de Quintanadueñas;42,38503;-3,734942
Aranda de Duero;41,67171;-3,686569
Arcos;42,26453;-3,755465
Belorado;42,42041;-3,189796
Briviesca;42,55029;-3,323369
Burgos;42,34087;-3,699731
Cardeñadijo;42,2997;-3,665262
Condado de Treviño;42,7349;-2,74691
Espinosa de los Monteros;43,07687;-3,552301
Huerta de Rey;41,83988;-3,349127
Ibeas de Juarros;42,33124;-3,535495
Lerma;42,02583;-3,75596
Medina de Pomar;42,92837;-3,487223
Melgar de Fernamental;42,40352;-4,244519
Merindad de Río Ubierna;42,61666;-3,65
Miranda de Ebro;42,68734;-2,947593
Oña;42,73478;-3,414072
Pradoluengo;42,3237;-3,200787
Quintanar de la Sierra;41,98133;-3,040702
Roa;41,69711;-3,928005
Salas de los Infantes;42,02327;-3,286438
Sasamón;42,41784;-4,043491
Trespaderne;42,8019;-3,391455
Valle de Mena;43,1;-3,283333
Valle de Tobalina;42,792;-3,271
Villadiego;42,51575;-4,010096
Villagonzalo Pedernales;42,30135;-3,736424
Villarcayo de Merindad de Castilla la Vieja;42,9383;-3,572985
Astorga;42,4589;-6,063526
Bañeza (La);42,29755;-5,90192
Bembibre;42,61572;-6,416451
Benavides;42,5;-5,9
Boñar;42,86674;-5,322935
Bustillo del Páramo;42,44134;-5,791799
Cabañas Raras;42,62006;-6,640493
Cacabelos;42,59987;-6,72562
Camponaraya;42,58083;-6,670298
Carracedelo;42,55473;-6,734163
Carrizo;42,58697;-5,867041
Castrocalbón;42,1959;-5,978774
Castropodame;42,58004;-6,467308
Chozas de Abajo;42,50726;-5,686552
Cistierna;42,80286;-5,125302
Congosto;42,61791;-6,520012
Corullón;42,58038;-6,812983
Cuadros;42,71033;-5,639072
Cubillos del Sil;42,62387;-6,563678
Fabero;42,76797;-6,625144
Folgoso de la Ribera;42,64359;-6,319312
Garrafe de Torío;42,73277;-5,523663
Gradefes;42,62492;-5,227446
Hospital de Órbigo;42,46129;-5,884193
Igüeña;42,72905;-6,27664
Laguna de Negrillos;42,23968;-5,661668
León;42,59988;-5,571752
Mansilla de las Mulas;42,49752;-5,416444
Matallana de Torío;42,84385;-5,498035
Onzonilla;42,52478;-5,583355
Palacios del Sil;42,87659;-6,433007
Páramo del Sil;42,82024;-6,488228
Pola de Gordón (La);42,85498;-5,670204
Ponferrada;42,54633;-6,590833
Puente de Domingo Flórez;42,41438;-6,82406
Robla (La);42,80159;-5,628979
Sabero;42,83629;-5,150429
Sahagún;42,37203;-5,03044
San Andrés del Rabanedo;42,61139;-5,619493
San Justo de la Vega;42,4542;-6,014813
Santa Elena de Jamuz;42,26;-5,886668
Santa María del Páramo;42,35568;-5,747854
Santa Marina del Rey;42,51359;-5,858411
Santovenia de la Valdoncina;42,54325;-5,621881
Sariegos;42,65;-5,633333
Soto de la Vega;42,33125;-5,882584
Toreno;42,70055;-6,509904
Torre del Bierzo;42,5947;-6,324807
Turcia;42,53492;-5,876189
Valdefresno;42,59381;-5,492152
Valdepolo;42,57626;-5,22613
Valderas;42,07758;-5,442767
Valderrueda;42,81544;-4,948068
Valdevimbre;42,42081;-5,622447
Valencia de Don Juan;42,29401;-5,519861
Valverde de la Virgen;42,56865;-5,683748
Vega de Espinareda;42,72601;-6,655013
Vegas del Condado;42,68404;-5,366673
Villablino;42,93821;-6,320078
Villadangos del Páramo;42,51751;-5,766411
Villadecanes;42,57994;-6,759443
Villafranca del Bierzo;42,60765;-6,807748
Villamañán;42,3217;-5,582248
Villamanín;42,9384;-5,655591
Villaquilambre;42,63885;-5,557585
Villarejo de Órbigo;42,44614;-5,904218
Villasabariego;42,53359;-5,413929
Villaturiel;42,51855;-5,485187
Aguilar de Campoo;42,79245;-4,260221
Alar del Rey;42,65989;-4,311825
Astudillo;42,19241;-4,294691
Baltanás;41,93716;-4,245831
Barruelo de Santullán;42,90768;-4,28723
Carrión de los Condes;42,33895;-4,601765
Cervera de Pisuerga;42,86576;-4,499135
Dueñas;41,8762;-4,545815
Grijota;42,05277;-4,583137
Guardo;42,7889;-4,846615
Herrera de Pisuerga;42,59454;-4,33076
Magaz de Pisuerga;41,98265;-4,42814
Osorno la Mayor;42,41016;-4,361501
Palencia;42,01246;-4,531175
Paredes de Nava;42,15297;-4,694349
Saldaña;42,52224;-4,736195
Santibáñez de la Peña;42,80851;-4,730435
Torquemada;42,03398;-4,319597
Velilla del Río Carrión;42,82626;-4,84626
Venta de Baños;41,92121;-4,494053
Villada;42,25081;-4,966945
Villalobón;42,02964;-4,503937
Villamuriel de Cerrato;41,94826;-4,515538
Alba de Tormes;40,82463;-5,515934
Alberca (La);40,48907;-6,111216
Aldeadávila de la Ribera;41,21826;-6,620032
Aldeatejada;40,92322;-5,692632
Béjar;40,38356;-5,766045
Cabrerizos;40,9785;-5,612863
Calvarrasa de Abajo;40,94589;-5,553869
Cantalapiedra;41,12526;-5,183366
Cantalpino;41,05279;-5,328163
Carbajosa de la Sagrada;40,93298;-5,651256
Castellanos de Moriscos;41,01973;-5,592543
Ciudad Rodrigo;40,59715;-6,522775
Doñinos de Salamanca;40,96074;-5,746598
Fuente de San Esteban (La);40,80195;-6,257595
Fuentes de Oñoro;40,59302;-6,81143
Guijuelo;40,55514;-5,673656
Ledesma;41,09164;-5,998983
Lumbrales;40,93554;-6,717643
Macotera;40,83105;-5,287003
Monterrubio de Armuña;41,02808;-5,642549
Peñaranda de Bracamonte;40,90394;-5,202896
Salamanca;40,96497;-5,663047
Santa Marta de Tormes;40,95005;-5,633373
Terradillos;40,83985;-5,542461
Villamayor;41,00082;-5,68979
Villares de la Reina;41,00651;-5,647612
Villoria;40,9945;-5,374672
Vitigudino;41,00888;-6,43838
Ayllón;41,41933;-3,373922
Cantalejo;41,25864;-3,9281
Cantimpalos;41,0742;-4,158595
Carbonero el Mayor;41,12254;-4,266704
Coca;41,21833;-4,519117
Cuéllar;41,40251;-4,316654
Espinar (El);40,71771;-4,247441
Lastrilla (La);40,9687;-4,103292
Mozoncillo;41,40326;-3,517124
Nava de la Asunción;41,15579;-4,487045
Navalmanzano;41,21515;-4,258042
Navas de Oro;41,19619;-4,439495
Otero de Herreros;40,82013;-4,20911
Palazuelos de Eresma;40,93102;-4,059671
Riaza;41,28003;-3,477578
San Cristóbal de Segovia;40,95257;-4,076104
San Ildefonso;40,90373;-4,007106
Santa María la Real de Nieva;41,06889;-4,404407
Segovia;40,94943;-4,119209
Sepúlveda;41,29744;-3,749051
Torrecaballeros;40,99184;-4,024845
Turégano;41,15512;-4,007469
Villacastín;40,7799;-4,413782
Ágreda;41,85508;-1,920437
Almazán;41,48592;-2,533437
Arcos de Jalón;41,21495;-2,2713
Berlanga de Duero;41,46519;-2,861313
Burgo de Osma-Ciudad de Osma;41,58764;-3,06658
Covaleda;41,93584;-2,884975
Duruelo de la Sierra;41,95428;-2,932089
Golmayo;41,76519;-2,524221
Ólvega;41,77938;-1,985618
San Esteban de Gormaz;41,57364;-3,205283
San Leonardo de Yagüe;41,82905;-3,066409
Soria;41,7636;-2,464921
Vinuesa;41,91164;-2,762882
Alaejos;41,30723;-5,217235
Aldeamayor de San Martín;41,51191;-4,640789
Arroyo de la Encomienda;41,60952;-4,796458
Boecillo;41,5409;-4,699863
Cabezón de Pisuerga;41,73401;-4,645665
Campaspero;41,49291;-4,199188
Carpio;41,21339;-5,11081
Cigales;41,75821;-4,699579
Cistérniga;41,61322;-4,689145
Fresno el Viejo;41,19566;-5,145677
Fuensaldaña;41,70668;-4,764007
Íscar;41,36171;-4,535896
Laguna de Duero;41,58331;-4,721731
Matapozuelos;41,41465;-4,79148
Mayorga;42,16557;-5,265478
Medina de Rioseco;41,88319;-5,04281
Medina del Campo;41,30819;-4,921706
Mojados;41,43191;-4,66421
Montemayor de Pililla;41,5081;-4,453449
Nava del Rey;41,33257;-5,079111
Olmedo;41,28892;-4,683382
Pedraja de Portillo (La);41,47289;-4,643072
Pedrajas de San Esteban;41,33928;-4,580059
Peñafiel;41,59464;-4,118107
Portillo;41,47901;-4,588226
Quintanilla de Onésimo;41,62392;-4,363746
Renedo de Esgueva;41,65422;-4,627491
Rueda;41,41413;-4,957104
Santovenia de Pisuerga;41,69658;-4,688344
Seca (La);41,41461;-4,907119
Serrada;41,4593;-4,861142
Simancas;41,59023;-4,826713
Tordesillas;41,50165;-4,999127
Traspinedo;41,57597;-4,472253
Tudela de Duero;41,58638;-4,581106
Valdestillas;41,47604;-4,770289
Valladolid;41,65295;-4,728388
Viana de Cega;41,52876;-4,752031
Villabrágima;41,82352;-5,11295
Villalón de Campos;42,09926;-5,033988
Villanubla;41,69872;-4,841893
Villanueva de Duero;41,51768;-4,868396
Zaratán;41,661;-4,78407
Alcañices;41,69968;-6,347962
Benavente;42,00302;-5,67408
Bermillo de Sayago;41,36691;-6,112085
Coreses;41,54818;-5,622248
Corrales;41,35688;-5,728258
Fermoselle;41,31866;-6,39788
Fuentesaúco;41,22937;-5,496713
Galende;42,10423;-6,66264
Moraleja del Vino;41,46376;-5,656368
Morales de Toro;41,53684;-5,30874
Morales del Vino;41,44627;-5,730685
Puebla de Sanabria;42,05469;-6,633974
San Cristóbal de Entreviñas;42,04623;-5,63461
Santa Cristina de la Polvorosa;42,00021;-5,711788
Santibáñez de Vidriales;42,07348;-6,015193
Toro;41,52636;-5,394857
Trabazos;41,74718;-6,492951
Villalpando;41,86461;-5,411108
Villaralbo;41,4931;-5,682579
Zamora;41,50368;-5,743778
Abrera;41,51609;1,902142
Aiguafreda;41,76884;2,250261
Alella;41,49395;2,295461
Ametlla del Vallès (L');41,66976;2,261185
Arenys de Mar;41,57944;2,55148
Arenys de Munt;41,61026;2,541376
Argentona;41,55555;2,400564
Artés;41,79839;1,954726
Avià;42,07741;1,825308
Avinyó;41,86209;1,971941
Avinyonet del Penedès;41,3606;1,776485
Badalona;41,45014;2,24742
Badia del Vallès;41,50871;2,114864
Bagà;42,25188;1,863364
Balenyà;41,84387;2,251218
Balsareny;41,86267;1,873386
Barberà del Vallès;41,51596;2,124723
Barcelona;41,38792;2,169919
Begues;41,33101;1,921987
Berga;42,10144;1,8438
Bigues i Riells;41,67733;2,223527
Bruc (El);41,57993;1,78023
Cabrera d'Anoia;41,47944;1,704722
Cabrera de Mar;41,52623;2,393533
Cabrils;41,52552;2,368645
Calaf;41,73342;1,513498
Caldes d'Estrac;41,56946;2,526318
Caldes de Montbui;41,62976;2,165922
Calella;41,6134;2,657365
Calldetenes;41,92522;2,283792
Callús;41,78109;1,784008
Canet de Mar;41,58897;2,581924
Canovelles;41,61582;2,283456
Cànoves i Samalús;41,69384;2,353842
Canyelles;41,28708;1,721569
Capellades;41,53075;1,679613
Cardedeu;41,63816;2,354492
Cardona;41,91392;1,681348
Casserres;42,01234;1,845834
Castellar del Vallès;41,61618;2,085649
Castellbell i el Vilar;41,63389;1,863889
Castellbisbal;41,47467;1,981407
Castelldefels;41,28039;1,976774
Castellet i la Gornal;41,25391;1,592478
Castellgalí;41,67451;1,839598
Castellnou de Bages;41,83533;1,837383
Castellterçol;41,74788;2,12309
Castellví de la Marca;41,33242;1,594271
Castellví de Rosanes;41,45037;1,899479
Centelles;41,79659;2,221327
Cercs;42,15168;1,856175
Cerdanyola del Vallès;41,49137;2,140769
Cervelló;41,39615;1,957621
Collbató;41,56639;1,830136
Corbera de Llobregat;41,41764;1,932827
Cornellà de Llobregat;41,35561;2,070432
Cubelles;41,20835;1,672825
Dosrius;41,59482;2,405386
Esparreguera;41,53889;1,870692
Esplugues de Llobregat;41,37751;2,088085
Figaró-Montmany;41,72169;2,273113
Fogars de la Selva;41,72539;2,673566
Folgueroles;41,93813;2,31796
Fonollosa;41,76566;1,669017
Font-rubí;41,43423;1,591408
Franqueses del Vallès (Les);41,61889;2,298056
Garriga (La);41,68537;2,285918
Gavà;41,30317;2,003213
Gelida;41,44048;1,862745
Gironella;42,03363;1,8825
Granada (La);41,37685;1,719494
Granollers;41,60821;2,287789
Gualba;41,73145;2,502726
Guardiola de Berguedà;42,23344;1,879111
Gurb;41,95394;2,235545
Hospitalet de Llobregat (L');41,35958;2,099704
Hostalets de Pierola (Els);41,53416;1,765952
Igualada;41,57877;1,617193
Llagosta (La);41,51321;2,193246
Lliçà d'Amunt;41,60865;2,239443
Lliçà de Vall;41,59081;2,242733
Llinars del Vallès;41,63935;2,404427
Malgrat de Mar;41,64655;2,741634
Manlleu;41,99995;2,284165
Manresa;41,72517;1,823353
Martorell;41,47355;1,927682
Martorelles;41,52577;2,242882
Masies de Voltregà (Les);42,02114;2,234093
Masnou (El);41,47931;2,319244
Masquefa;41,50307;1,811926
Matadepera;41,5967;2,026747
Mataró;41,5375;2,445278
Mediona;41,48333;1,616667
Moià;41,81277;2,097428
Molins de Rei;41,41392;2,015836
Mollet del Vallès;41,54052;2,213529
Monistrol de Montserrat;41,60986;1,843154
Montcada i Reixac;41,48231;2,188504
Montgat;41,46645;2,279088
Montmeló;41,55146;2,248465
Montornès del Vallès;41,54255;2,263779
Navarcles;41,75158;1,903257
Navàs;41,90007;1,879363
Òdena;41,60673;1,640909
Olèrdola;41,32195;1,723056
Olesa de Bonesvalls;41,35301;1,849887
Olesa de Montserrat;41,5434;1,888153
Olivella;41,31034;1,812279
Olost;41,98582;2,095717
Palafolls;41,66497;2,749768
Palau-solità i Plegamans;41,58862;2,179233
Pallejà;41,42372;1,996701
Palma de Cervelló (La);41,41331;1,967154
Papiol (El);41,43895;2,010686
Parets del Vallès;41,57355;2,233794
Piera;41,51797;1,743268
Pineda de Mar;41,62751;2,689454
Pla del Penedès (El);41,41798;1,71032
Pobla de Claramunt (La);41,55298;1,675936
